level_0,index,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term_Months,Credit_History,Property_Area,Loan_Status
57,60,1332,1.0,1,0.0,0,0.0,2415,1721,110.0,360.0,1,1,1.0
58,61,1335,1.0,1,0.0,1,1.0,7016,292,125.0,360.0,1,0,1.0
59,62,1338,0.0,0,2.0,1,0.0,4968,0,189.0,360.0,1,1,1.0
60,63,1347,0.0,0,0.0,1,0.0,2101,1500,108.0,360.0,0,2,0.0
61,64,1348,1.0,1,3.0,0,0.0,4490,0,125.0,360.0,1,0,1.0
62,65,1351,1.0,1,0.0,1,0.0,2917,3583,138.0,360.0,1,1,1.0
63,66,1352,1.0,1,0.0,0,0.0,4700,0,135.0,360.0,0,1,0.0
64,67,1358,1.0,1,0.0,1,0.0,3445,0,130.0,360.0,0,1,0.0
65,68,1359,1.0,1,0.0,1,0.0,7666,0,187.0,360.0,1,1,1.0
66,69,1361,1.0,1,0.0,1,0.0,2458,5105,188.0,360.0,0,2,0.0
67,71,1368,1.0,0,0.0,1,0.0,4463,0,65.0,360.0,1,1,1.0
68,72,1375,1.0,1,1.0,1,0.0,4083,1775,139.0,60.0,1,0,1.0
69,73,1380,1.0,1,0.0,1,1.0,3900,2094,232.0,360.0,1,2,1.0
70,74,1386,1.0,1,0.0,0,0.0,4750,3583,144.0,360.0,1,1,1.0
71,75,1400,1.0,0,0.0,1,0.0,3583,3435,155.0,360.0,1,0,1.0
72,76,1407,1.0,1,0.0,1,0.0,3189,2367,186.0,360.0,1,0,1.0
73,77,1413,1.0,0,0.0,1,1.0,6356,0,50.0,360.0,1,2,1.0
74,79,1419,0.0,1,0.0,1,0.0,7950,0,185.0,360.0,1,0,1.0
75,80,1420,1.0,1,3.0,1,0.0,3829,1103,163.0,360.0,0,0,0.0
76,81,1428,1.0,1,3.0,1,0.0,72529,0,360.0,360.0,1,0,1.0
77,82,1445,1.0,1,2.0,0,0.0,4136,0,149.0,480.0,0,2,0.0
78,83,1446,1.0,1,0.0,1,0.0,8449,0,257.0,360.0,1,2,1.0
79,84,1450,1.0,1,0.0,1,0.0,4456,0,131.0,180.0,0,1,0.0
80,85,1452,1.0,1,2.0,1,0.0,4635,8000,102.0,180.0,1,2,1.0
81,86,1455,1.0,1,0.0,1,0.0,3571,1917,135.0,360.0,1,0,1.0
82,87,1466,1.0,0,0.0,1,0.0,3066,0,95.0,360.0,1,1,1.0
83,88,1471,1.0,0,2.0,0,0.0,3235,2015,77.0,360.0,1,1,1.0
84,89,1472,0.0,0,0.0,1,0.0,5058,0,200.0,360.0,1,2,1.0
85,90,1475,1.0,1,0.0,1,1.0,3188,2286,130.0,360.0,0,2,0.0
86,91,1483,1.0,1,3.0,1,0.0,13518,0,390.0,360.0,1,2,1.0
87,92,1486,1.0,1,1.0,1,0.0,4364,2500,185.0,360.0,1,1,1.0
88,93,1490,1.0,1,2.0,0,0.0,4766,1646,100.0,360.0,1,1,1.0
89,94,1496,1.0,1,1.0,1,0.0,4609,2333,123.0,360.0,0,1,0.0
90,95,1499,0.0,1,3.0,1,0.0,6260,0,110.0,360.0,1,1,1.0
91,96,1500,1.0,1,1.0,1,0.0,3333,4200,256.0,360.0,1,0,1.0
92,97,1501,1.0,1,0.0,1,0.0,3500,3250,140.0,360.0,1,1,1.0
93,98,1517,1.0,1,3.0,1,0.0,9719,0,61.0,360.0,1,0,1.0
94,99,1527,1.0,1,3.0,1,0.0,6835,0,188.0,360.0,0,1,0.0
95,100,1534,1.0,0,0.0,1,0.0,4452,0,131.0,360.0,1,2,1.0
96,102,1547,1.0,1,1.0,1,0.0,3901,0,116.0,360.0,1,0,1.0
97,103,1548,1.0,1,2.0,0,0.0,2687,0,50.0,180.0,1,2,1.0
98,104,1558,1.0,0,0.0,1,0.0,2243,2233,107.0,360.0,0,1,0.0
99,105,1561,0.0,1,0.0,1,0.0,3417,1287,200.0,360.0,1,1,1.0
100,106,1563,0.0,0,0.0,1,0.0,1596,1760,119.0,360.0,0,0,0.0
101,107,1567,1.0,1,3.0,1,0.0,4513,0,120.0,360.0,1,2,1.0
102,108,1568,1.0,1,0.0,1,0.0,4500,0,140.0,360.0,1,1,1.0
103,109,1573,1.0,1,0.0,0,0.0,4523,1350,165.0,360.0,1,0,1.0
104,110,1584,0.0,0,0.0,1,1.0,4742,0,108.0,360.0,1,1,1.0
105,112,1589,0.0,0,0.0,1,0.0,3417,0,102.0,360.0,1,0,1.0
106,113,1591,0.0,1,2.0,1,0.0,2922,3396,122.0,360.0,1,1,1.0
107,114,1599,1.0,1,0.0,1,0.0,4167,4754,160.0,360.0,1,2,1.0
108,115,1601,1.0,0,3.0,1,0.0,4243,4123,157.0,360.0,0,1,0.0
109,116,1607,0.0,0,0.0,0,0.0,0,1760,180.0,360.0,1,1,1.0
110,118,1613,0.0,0,0.0,1,0.0,1762,2666,104.0,360.0,0,0,0.0
111,119,1622,1.0,1,2.0,1,0.0,724,3510,213.0,360.0,0,2,0.0
112,120,1627,1.0,0,0.0,1,0.0,3125,0,65.0,360.0,1,0,1.0
113,121,1650,1.0,1,0.0,1,0.0,2333,3803,146.0,360.0,1,2,1.0
114,122,1651,1.0,1,3.0,1,0.0,3350,1560,135.0,360.0,1,0,1.0
115,123,1652,1.0,0,0.0,1,0.0,2500,6414,187.0,360.0,0,2,0.0
116,124,1655,0.0,0,0.0,1,0.0,12500,0,300.0,360.0,0,0,0.0
117,125,1660,1.0,0,0.0,1,0.0,4667,0,120.0,360.0,1,1,1.0
118,126,1662,1.0,0,0.0,1,0.0,6500,0,71.0,360.0,0,0,0.0
119,127,1663,1.0,1,2.0,1,0.0,7500,0,225.0,360.0,1,0,1.0
120,128,1667,1.0,0,0.0,1,0.0,3073,0,70.0,180.0,1,0,1.0
121,130,1703,1.0,1,0.0,1,0.0,3333,1270,124.0,360.0,1,0,1.0
122,131,1718,1.0,0,0.0,1,0.0,3391,0,132.0,360.0,1,2,1.0
123,132,1728,1.0,1,1.0,1,1.0,3343,1517,105.0,360.0,1,2,1.0
124,133,1735,0.0,0,1.0,1,0.0,3620,0,90.0,360.0,1,0,1.0
125,134,1737,1.0,0,0.0,1,0.0,4000,0,83.0,84.0,1,0,1.0
126,135,1739,1.0,1,0.0,1,0.0,4258,0,125.0,360.0,1,0,1.0
127,136,1742,1.0,1,2.0,1,0.0,4500,0,147.0,360.0,1,2,1.0
128,137,1757,1.0,1,1.0,1,0.0,2014,2925,120.0,360.0,1,2,1.0
129,139,1771,0.0,0,3.0,1,0.0,4083,0,103.0,360.0,0,1,0.0
130,140,1785,1.0,0,0.0,1,0.0,4727,0,150.0,360.0,0,2,0.0
131,141,1787,1.0,1,3.0,1,0.0,3089,2999,100.0,240.0,1,2,1.0
132,142,1789,1.0,1,3.0,0,0.0,6794,528,139.0,360.0,0,0,0.0
133,143,1791,1.0,1,0.0,1,1.0,32000,0,550.0,360.0,0,1,0.0
134,144,1794,1.0,1,2.0,1,1.0,10890,0,260.0,12.0,1,2,1.0
135,145,1797,0.0,0,0.0,1,0.0,12941,0,150.0,300.0,1,0,1.0
136,146,1815,1.0,0,0.0,0,0.0,3276,0,90.0,360.0,1,1,1.0
137,147,1817,1.0,0,0.0,0,1.0,8703,0,199.0,360.0,0,2,0.0
138,148,1818,1.0,1,1.0,1,0.0,4742,717,139.0,360.0,1,1,1.0
139,149,1822,1.0,0,0.0,1,0.0,5900,0,150.0,360.0,1,0,1.0
140,150,1827,1.0,0,0.0,1,0.0,3071,4309,180.0,360.0,1,0,1.0
141,151,1831,1.0,1,0.0,1,0.0,2783,1456,113.0,360.0,1,0,1.0
142,152,1842,1.0,0,0.0,1,0.0,5000,0,148.0,360.0,1,2,1.0
143,153,1853,1.0,1,1.0,0,0.0,2463,2360,117.0,360.0,0,0,0.0
144,154,1855,1.0,1,2.0,1,0.0,4855,0,72.0,360.0,1,2,1.0
145,155,1857,1.0,0,0.0,0,1.0,1599,2474,125.0,300.0,1,1,1.0
146,156,1862,1.0,1,2.0,1,1.0,4246,4246,214.0,360.0,1,0,1.0
147,157,1867,1.0,1,0.0,1,0.0,4333,2291,133.0,350.0,1,2,1.0
148,158,1878,1.0,0,1.0,1,0.0,5823,2529,187.0,360.0,1,1,1.0
149,159,1881,1.0,1,0.0,0,0.0,7895,0,143.0,360.0,1,2,1.0
150,160,1886,1.0,0,0.0,1,0.0,4150,4256,209.0,360.0,1,2,1.0
151,161,1906,1.0,0,0.0,1,0.0,2964,0,84.0,360.0,0,1,0.0
152,162,1909,1.0,0,0.0,1,0.0,5583,0,116.0,360.0,1,0,1.0
153,163,1911,0.0,0,0.0,1,0.0,2708,0,65.0,360.0,1,2,1.0
154,164,1921,1.0,0,1.0,1,0.0,3180,2370,80.0,240.0,0,2,0.0
155,165,1923,1.0,0,0.0,0,0.0,2268,0,170.0,360.0,0,1,0.0
156,166,1933,1.0,0,2.0,0,0.0,1141,2017,120.0,360.0,0,0,0.0
157,167,1943,1.0,1,0.0,1,0.0,3042,3167,135.0,360.0,1,0,1.0
158,168,1950,0.0,1,3.0,1,0.0,1750,2935,94.0,360.0,0,1,0.0
159,169,1959,0.0,1,1.0,1,0.0,3564,0,79.0,360.0,1,2,1.0
160,170,1961,0.0,0,0.0,1,0.0,3958,0,110.0,360.0,1,2,1.0
161,171,1973,1.0,1,2.0,0,0.0,4483,0,130.0,360.0,1,2,1.0
162,172,1975,1.0,1,0.0,1,0.0,5225,0,143.0,360.0,1,2,1.0
163,173,1979,1.0,0,0.0,1,0.0,3017,2845,159.0,180.0,0,0,0.0
164,174,1995,1.0,1,0.0,0,0.0,2431,1820,110.0,360.0,0,2,0.0
165,175,1999,1.0,1,2.0,1,0.0,4912,4614,160.0,360.0,1,2,1.0
166,176,2007,1.0,1,2.0,0,0.0,2500,3333,131.0,360.0,1,0,1.0
167,177,2009,0.0,0,0.0,1,0.0,2918,0,65.0,360.0,0,2,0.0
168,178,2016,1.0,1,2.0,1,0.0,5128,0,143.0,360.0,1,2,1.0
169,179,2017,1.0,1,3.0,1,0.0,15312,0,187.0,360.0,0,0,0.0
170,180,2018,1.0,1,2.0,1,0.0,3958,2632,160.0,360.0,1,1,1.0
171,181,2027,1.0,1,0.0,1,0.0,4334,2945,165.0,360.0,1,1,1.0
172,182,2028,1.0,1,2.0,1,0.0,4358,0,110.0,360.0,1,0,1.0
173,183,2042,0.0,1,1.0,1,0.0,4000,3917,173.0,360.0,1,2,1.0
174,185,2046,1.0,1,0.0,0,0.0,4483,0,135.0,360.0,0,1,0.0
175,186,2047,1.0,1,2.0,0,0.0,4521,1184,150.0,360.0,1,1,1.0
176,187,2056,1.0,1,2.0,1,0.0,9167,0,235.0,360.0,1,1,1.0
177,189,2059,1.0,1,2.0,1,0.0,7874,3967,336.0,360.0,1,2,1.0
178,190,2062,0.0,1,1.0,1,0.0,4333,0,132.0,84.0,1,2,1.0
179,191,2064,1.0,0,0.0,1,0.0,4083,0,96.0,360.0,1,0,1.0
180,192,2069,1.0,1,2.0,0,0.0,3785,2912,180.0,360.0,0,2,0.0
181,193,2070,1.0,1,3.0,0,0.0,2654,1998,128.0,360.0,0,2,0.0
182,194,2077,1.0,1,1.0,1,0.0,10000,2690,412.0,360.0,1,1,1.0
183,195,2083,1.0,0,0.0,1,1.0,5833,0,116.0,360.0,1,0,1.0
184,196,2090,1.0,1,1.0,1,0.0,4796,0,114.0,360.0,0,1,0.0
185,197,2096,1.0,1,0.0,0,0.0,2000,1600,115.0,360.0,1,2,1.0
186,198,2099,1.0,1,2.0,1,0.0,2540,700,104.0,360.0,0,0,0.0
187,199,2102,1.0,1,0.0,1,1.0,1900,1442,88.0,360.0,1,2,1.0
188,200,2105,1.0,1,0.0,1,1.0,8706,0,108.0,480.0,1,2,1.0
189,201,2107,1.0,1,3.0,0,0.0,2855,542,90.0,360.0,1,0,1.0
190,203,2117,0.0,1,0.0,1,0.0,3159,2374,108.0,360.0,1,1,1.0
191,204,2118,0.0,0,0.0,1,0.0,1937,1152,78.0,360.0,1,1,1.0
192,205,2123,1.0,1,0.0,1,0.0,2613,2417,123.0,360.0,1,1,1.0
193,206,2125,1.0,1,1.0,1,0.0,4960,2600,187.0,360.0,1,1,1.0
194,207,2148,1.0,1,1.0,1,0.0,3074,1083,146.0,360.0,1,1,1.0
195,208,2152,0.0,0,0.0,1,0.0,4213,0,80.0,360.0,1,0,1.0
196,209,2165,0.0,0,1.0,0,0.0,2038,4027,100.0,360.0,1,2,1.0
197,210,2167,0.0,0,0.0,1,0.0,2362,0,55.0,360.0,1,0,1.0
198,211,2168,1.0,0,0.0,1,0.0,5333,2400,200.0,360.0,0,2,0.0
199,212,2172,1.0,1,3.0,1,1.0,5384,0,150.0,360.0,1,1,1.0
200,213,2176,1.0,0,0.0,1,0.0,5708,0,150.0,360.0,1,2,1.0
201,215,2184,1.0,1,0.0,0,0.0,2914,2130,150.0,300.0,1,0,1.0
202,216,2186,1.0,1,0.0,0,0.0,2747,2458,118.0,36.0,1,1,1.0
203,217,2192,1.0,1,0.0,1,0.0,7830,2183,212.0,360.0,1,2,1.0
204,218,2195,1.0,1,1.0,1,1.0,3507,3148,212.0,360.0,1,2,1.0
205,219,2208,1.0,1,1.0,1,0.0,3747,2139,125.0,360.0,1,0,1.0
206,220,2212,1.0,1,0.0,1,0.0,2166,2166,108.0,360.0,0,0,0.0
207,221,2240,1.0,1,0.0,0,0.0,3500,2168,149.0,360.0,1,2,1.0
208,222,2245,1.0,1,2.0,0,0.0,2896,0,80.0,480.0,1,0,1.0
209,223,2253,0.0,0,1.0,1,0.0,5062,0,152.0,300.0,1,2,1.0
210,224,2256,0.0,0,2.0,1,1.0,5184,0,187.0,360.0,0,1,0.0
211,225,2257,0.0,0,0.0,1,0.0,2545,0,74.0,360.0,1,0,1.0
212,226,2264,1.0,1,0.0,1,0.0,2553,1768,102.0,360.0,1,0,1.0
213,227,2270,1.0,1,1.0,1,0.0,3436,3809,100.0,360.0,1,2,1.0
214,228,2279,1.0,0,0.0,1,0.0,2412,2755,130.0,360.0,1,2,1.0
215,229,2286,1.0,1,3.0,0,0.0,5180,0,125.0,360.0,0,0,0.0
216,230,2294,1.0,0,0.0,1,0.0,14911,14507,130.0,360.0,1,1,0.0
217,231,2298,0.0,0,0.0,1,1.0,2860,2988,138.0,360.0,1,0,1.0
218,232,2306,1.0,1,0.0,1,0.0,1173,1594,28.0,180.0,1,2,1.0
219,233,2310,0.0,0,1.0,1,0.0,7600,0,92.0,360.0,1,1,1.0
220,234,2311,0.0,1,0.0,1,0.0,2157,1788,104.0,360.0,1,0,1.0
221,235,2316,1.0,0,0.0,1,0.0,2231,2774,176.0,360.0,0,0,0.0
222,236,2321,0.0,0,0.0,1,0.0,2274,5211,117.0,360.0,0,1,0.0
223,237,2325,1.0,1,2.0,0,0.0,6166,13983,102.0,360.0,1,2,1.0
224,238,2326,1.0,1,2.0,0,0.0,2513,1110,107.0,360.0,1,1,1.0
225,239,2329,1.0,0,0.0,1,0.0,4333,0,66.0,480.0,1,0,1.0
226,240,2333,1.0,0,0.0,0,0.0,3844,0,105.0,360.0,1,0,1.0
227,241,2339,1.0,1,0.0,1,0.0,3887,1517,105.0,360.0,0,1,0.0
228,242,2344,1.0,1,0.0,1,0.0,3510,828,105.0,360.0,1,1,1.0
229,243,2346,1.0,1,0.0,1,0.0,2539,1704,125.0,360.0,0,2,0.0
230,244,2354,0.0,0,0.0,0,0.0,2107,0,64.0,360.0,1,1,1.0
231,245,2355,0.0,1,0.0,1,0.0,3186,3145,150.0,180.0,0,1,0.0
232,246,2358,1.0,1,2.0,1,1.0,5000,2166,150.0,360.0,1,0,1.0
233,248,2375,1.0,1,0.0,0,1.0,3943,0,64.0,360.0,1,1,1.0
234,249,2376,1.0,0,0.0,1,0.0,2925,0,40.0,180.0,1,2,1.0
235,250,2383,1.0,1,3.0,1,0.0,3242,437,142.0,480.0,0,0,0.0
236,252,2389,0.0,0,1.0,1,0.0,4028,0,131.0,360.0,1,1,1.0
237,253,2394,1.0,1,2.0,1,0.0,4010,1025,120.0,360.0,1,0,1.0
238,254,2397,0.0,1,1.0,1,0.0,3719,1585,114.0,360.0,1,0,1.0
239,255,2399,1.0,0,0.0,1,0.0,2858,0,123.0,360.0,0,2,0.0
240,256,2400,0.0,1,0.0,1,0.0,3833,0,92.0,360.0,1,2,1.0
241,257,2402,1.0,1,0.0,1,0.0,3333,4288,160.0,360.0,1,0,1.0
242,258,2412,1.0,1,0.0,1,0.0,3007,3725,151.0,360.0,1,2,1.0
243,259,2415,0.0,0,1.0,1,0.0,1850,4583,81.0,360.0,0,2,0.0
244,260,2417,1.0,1,3.0,0,0.0,2792,2619,171.0,360.0,1,1,1.0
245,261,2420,1.0,1,0.0,1,0.0,2982,1550,110.0,360.0,1,1,1.0
246,262,2425,1.0,0,0.0,1,0.0,3417,738,100.0,360.0,0,2,0.0
247,263,2433,1.0,1,1.0,1,0.0,18840,0,234.0,360.0,1,2,1.0
248,264,2440,1.0,1,2.0,1,0.0,2995,1120,184.0,360.0,1,2,1.0
249,266,2442,0.0,1,1.0,0,0.0,3835,1400,112.0,480.0,0,0,0.0
250,267,2445,0.0,0,1.0,0,0.0,3854,3575,117.0,360.0,1,2,1.0
251,268,2450,1.0,1,2.0,1,0.0,5833,750,49.0,360.0,0,2,0.0
252,269,2471,1.0,0,0.0,1,0.0,3508,0,99.0,360.0,1,2,1.0
253,270,2476,0.0,1,3.0,0,0.0,1635,2444,99.0,360.0,1,0,1.0
254,271,2482,0.0,0,0.0,1,1.0,3333,3916,212.0,360.0,1,2,1.0
255,272,2485,1.0,0,1.0,1,0.0,24797,0,240.0,360.0,1,1,1.0
256,273,2495,1.0,1,2.0,1,0.0,5667,440,130.0,360.0,0,1,0.0
257,274,2496,0.0,0,0.0,1,0.0,3500,0,94.0,360.0,0,1,0.0
258,275,2523,1.0,1,3.0,1,0.0,2773,1497,108.0,360.0,1,1,1.0
259,276,2542,1.0,1,0.0,1,0.0,6500,0,144.0,360.0,1,0,1.0
260,277,2550,0.0,0,0.0,1,0.0,5769,0,110.0,180.0,1,1,1.0
261,278,2551,1.0,1,3.0,0,0.0,3634,910,176.0,360.0,0,1,0.0
262,279,2553,0.0,0,0.0,1,0.0,29167,0,185.0,360.0,1,1,1.0
263,280,2554,1.0,0,0.0,1,0.0,2166,2057,122.0,360.0,1,1,1.0
264,281,2561,1.0,1,0.0,1,0.0,5000,0,126.0,360.0,1,2,1.0
265,282,2566,0.0,0,0.0,1,0.0,5530,0,135.0,360.0,0,0,0.0
266,283,2568,1.0,0,0.0,0,0.0,9000,0,122.0,360.0,1,2,1.0
267,284,2570,0.0,1,2.0,1,0.0,10000,11666,460.0,360.0,1,0,1.0
268,285,2572,1.0,1,1.0,1,0.0,8750,0,297.0,360.0,1,0,1.0
269,286,2581,1.0,1,0.0,0,0.0,2157,2730,140.0,360.0,0,2,0.0
270,287,2584,1.0,0,0.0,1,0.0,1972,4347,106.0,360.0,1,2,1.0
271,288,2592,1.0,0,0.0,1,0.0,4983,0,141.0,360.0,1,0,1.0
272,290,2599,1.0,1,0.0,1,0.0,3667,2000,170.0,360.0,1,1,1.0
273,291,2604,1.0,1,2.0,1,0.0,3166,2833,145.0,360.0,1,0,1.0
274,292,2605,1.0,0,0.0,0,0.0,3271,0,90.0,360.0,1,2,1.0
275,293,2609,0.0,1,0.0,1,0.0,2241,2000,88.0,360.0,0,0,0.0
276,294,2610,1.0,1,1.0,0,0.0,1792,2565,128.0,360.0,1,0,1.0
277,295,2612,0.0,1,0.0,1,0.0,2666,0,84.0,480.0,1,1,1.0
278,296,2614,0.0,0,0.0,1,0.0,6478,0,108.0,360.0,1,1,1.0
279,297,2630,1.0,0,0.0,0,0.0,3808,0,83.0,360.0,1,2,1.0
280,298,2635,0.0,1,2.0,0,0.0,3729,0,117.0,360.0,1,1,1.0
281,299,2639,1.0,1,2.0,1,0.0,4120,0,128.0,360.0,1,2,1.0
282,300,2644,1.0,1,1.0,1,1.0,7500,0,75.0,360.0,1,0,1.0
283,301,2651,1.0,1,1.0,1,0.0,6300,0,125.0,360.0,0,0,0.0
284,303,2657,0.0,1,1.0,0,1.0,570,2125,68.0,360.0,1,2,1.0
285,304,2711,1.0,1,0.0,1,0.0,2600,700,96.0,360.0,1,1,1.0
286,305,2712,1.0,0,2.0,0,0.0,2733,1083,180.0,360.0,0,1,0.0
287,306,2721,1.0,1,2.0,1,1.0,7500,0,183.0,360.0,1,2,1.0
288,307,2735,1.0,1,2.0,0,0.0,3859,0,121.0,360.0,1,2,1.0
289,308,2744,1.0,1,1.0,1,0.0,6825,0,162.0,360.0,1,2,1.0
290,309,2745,1.0,1,0.0,1,0.0,3708,4700,132.0,360.0,1,1,1.0
291,310,2746,1.0,0,0.0,1,0.0,5314,0,147.0,360.0,1,0,1.0
292,311,2747,0.0,0,3.0,1,0.0,2366,5272,153.0,360.0,0,2,0.0
293,313,2759,1.0,1,2.0,1,0.0,5000,0,149.0,360.0,1,2,1.0
294,314,2760,0.0,0,0.0,1,0.0,3767,0,134.0,300.0,1,0,1.0
295,315,2766,0.0,1,0.0,1,0.0,7859,879,165.0,180.0,1,1,1.0
296,316,2769,0.0,1,0.0,1,0.0,4283,0,120.0,360.0,1,2,1.0
297,317,2774,1.0,1,0.0,0,0.0,1700,2900,67.0,360.0,0,0,0.0
298,318,2775,0.0,0,0.0,0,0.0,4768,0,125.0,360.0,1,2,1.0
299,319,2781,1.0,0,0.0,1,0.0,3083,2738,120.0,360.0,1,0,1.0
300,320,2782,1.0,1,1.0,1,0.0,2667,1542,148.0,360.0,1,2,1.0
301,321,2786,0.0,1,0.0,0,0.0,1647,1762,181.0,360.0,1,0,1.0
302,322,2790,1.0,1,3.0,1,0.0,3400,0,80.0,120.0,1,0,1.0
303,323,2791,1.0,0,1.0,1,0.0,16000,5000,40.0,360.0,1,1,1.0
304,324,2793,1.0,1,0.0,1,0.0,5333,0,90.0,360.0,1,2,1.0
305,325,2802,1.0,0,0.0,1,0.0,2875,2416,95.0,6.0,0,1,0.0
306,326,2803,1.0,1,1.0,0,0.0,2600,618,122.0,360.0,1,1,1.0
307,327,2805,1.0,1,2.0,1,0.0,5041,700,150.0,360.0,1,0,1.0
308,328,2806,1.0,1,3.0,1,1.0,6958,1411,150.0,360.0,1,2,1.0
309,329,2816,1.0,1,1.0,1,0.0,3500,1658,104.0,360.0,0,1,0.0
